experiment,model,month,target_days,scored_points,raw,positive_recall,negative_recall,balanced,MAE,daily_macro_balanced,minority_recall,collapse_days,transition_f1,leakage_status
FULLDEV5,C0_DIRECT_H34,2026-01,31,744,0.5067204301075269,0.4342984409799554,0.6169491525423729,0.5256237967611642,111.06215789183844,0.4858152296017311,0.0953762705884947,8,0.0579434902015547,STRICT/PASS
FULLDEV5,C0_DIRECT_H34,2026-02,28,672,0.4655688622754491,0.4278846153846153,0.5277777777777778,0.4778311965811965,94.14430183910356,0.4885760258894381,0.119587359235192,9,0.1203257060399917,STRICT/PASS
FULLDEV5,C0_DIRECT_H34,2026-04,30,720,0.5597222222222222,0.5594713656387665,0.5601503759398496,0.5598108707893081,92.88674307782156,0.520605815538091,0.132156862745098,10,0.1091534391534391,STRICT/PASS
FULLDEV5,C0_DIRECT_H34,2026-06,30,720,0.5319444444444444,0.6282973621103117,0.3993399339933993,0.5138186480518555,105.2539525207753,0.497942907482381,0.1507236227824463,9,0.1237179487179487,STRICT/PASS
FULLDEV5,C0_DIRECT_H34,2026-07,31,744,0.5577956989247311,0.7127659574468085,0.291970802919708,0.5023683801832582,92.05551999314658,0.5173985897166686,0.2354868320700239,10,0.2014942047200111,STRICT/PASS
FULLDEV5,C3_DIRMO_10_12_12,2026-01,31,744,0.5120967741935484,0.4587973273942093,0.5932203389830508,0.5260088331886301,115.85719428628543,0.5147214196525093,0.220882811136731,4,0.1216238958174441,STRICT/PASS
FULLDEV5,C3_DIRMO_10_12_12,2026-02,28,672,0.5179640718562875,0.5360576923076923,0.4880952380952381,0.5120764652014652,94.9428068459106,0.4920521254974015,0.1753174455587657,7,0.1460450847005468,STRICT/PASS
FULLDEV5,C3_DIRMO_10_12_12,2026-04,30,720,0.5416666666666666,0.552863436123348,0.5225563909774437,0.5377099135503958,99.18258824449812,0.5228037862693435,0.1591240560551705,8,0.0639601139601139,STRICT/PASS
FULLDEV5,C3_DIRMO_10_12_12,2026-06,30,720,0.525,0.6258992805755396,0.3861386138613861,0.5060189472184629,111.61724220381925,0.5063913729129437,0.1738542938542938,6,0.0929908979908979,STRICT/PASS
FULLDEV5,C3_DIRMO_10_12_12,2026-07,31,744,0.5403225806451613,0.7021276595744681,0.2627737226277372,0.4824506911011026,94.17852917370656,0.5093995989475073,0.248684650835496,8,0.1442580716774265,STRICT/PASS
FULLDEV5,Cycle88_LGBM_v2_full_F0_F9,2026-01,31,744,0.5564516129032258,0.7260579064587973,0.2983050847457627,0.51218149560228,104.39248668272708,0.5169491474963113,0.2034897094095136,6,0.1554219973574812,STRICT/PASS
FULLDEV5,Cycle88_LGBM_v2_full_F0_F9,2026-02,28,672,0.5059880239520959,0.5985576923076923,0.3531746031746032,0.4758661477411477,77.58936636248674,0.4866600961473493,0.2069114133507654,2,0.1572225393653965,STRICT/PASS
FULLDEV5,Cycle88_LGBM_v2_full_F0_F9,2026-04,30,720,0.5638888888888889,0.6211453744493393,0.4661654135338345,0.5436553939915869,77.28856117926911,0.5097485461871651,0.1511246977423448,7,0.1021663412839883,STRICT/PASS
FULLDEV5,Cycle88_LGBM_v2_full_F0_F9,2026-06,30,720,0.5708333333333333,0.709832134292566,0.3795379537953795,0.5446850440439728,91.74156017100776,0.5288565507992753,0.2206796906796907,8,0.0998941798941799,STRICT/PASS
FULLDEV5,Cycle88_LGBM_v2_full_F0_F9,2026-07,31,744,0.603494623655914,0.8531914893617021,0.1751824817518248,0.5141869855567635,84.07557331429449,0.53517078338441,0.1956273258904837,14,0.1565330726621049,STRICT/PASS
RACE25,L1_D24_MAE_BRIDGE025,2026-01,5,120,0.4916666666666666,0.55,0.4333333333333333,0.4916666666666667,123.09986875665685,0.5114035087719297,0.09,0,0.2333333333333333,STRICT/PASS
RACE25,L1_D24_MAE_BRIDGE025,2026-02,5,120,0.4916666666666666,0.6266666666666667,0.2666666666666666,0.4466666666666666,96.39830327772846,0.505974025974026,0.069090909090909,2,0.08,STRICT/PASS
RACE25,L1_D24_MAE_BRIDGE025,2026-04,5,120,0.4916666666666666,0.2769230769230769,0.7454545454545455,0.5111888111888112,133.5421895710606,0.5380952380952382,0.0761904761904761,2,0.0,STRICT/PASS
RACE25,L1_D24_MAE_BRIDGE025,2026-06,5,120,0.5083333333333333,0.5882352941176471,0.4038461538461538,0.4960407239819004,79.28153656919797,0.5205555555555555,0.21,1,0.1744444444444444,STRICT/PASS
RACE25,L1_D24_MAE_BRIDGE025,2026-07,5,120,0.5083333333333333,0.6404494382022472,0.1290322580645161,0.3847408481333816,71.22105487734079,0.4886062903422238,0.299047619047619,1,0.3308080808080808,STRICT/PASS
