task,target_day,business_day,business_period,ds,hour_business,period,y_true,actual_available_at,source_file
dayahead,2026-08-03,2026-08-03,44,2026-08-03 11:00:00,11,33_64,349.78,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-08-04,2026-08-04,7,2026-08-04 01:45:00,2,1_32,1500.0,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-08-03,2026-08-03,18,2026-08-03 04:30:00,5,1_32,500.21,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-08-04,2026-08-04,51,2026-08-04 12:45:00,13,33_64,444.97,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-08-01,2026-08-01,42,2026-08-01 10:30:00,11,33_64,318.6,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-08-02,2026-08-02,33,2026-08-02 08:15:00,9,33_64,172.28,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-08-02,2026-08-02,67,2026-08-02 16:45:00,17,65_96,420.78,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-08-03,2026-08-03,69,2026-08-03 17:15:00,18,65_96,548.75,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-08-03,2026-08-03,70,2026-08-03 17:30:00,18,65_96,1500.0,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-08-13,2026-08-13,74,2026-08-13 18:30:00,19,65_96,372.0,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-08-02,2026-08-02,47,2026-08-02 11:45:00,12,33_64,159.38,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-08-02,2026-08-02,34,2026-08-02 08:30:00,9,33_64,162.77,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-08-03,2026-08-03,9,2026-08-03 02:15:00,3,1_32,537.69,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-08-04,2026-08-04,85,2026-08-04 21:15:00,22,65_96,1300.0,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-08-02,2026-08-02,36,2026-08-02 09:00:00,9,33_64,159.77,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-08-04,2026-08-04,90,2026-08-04 22:30:00,23,65_96,1500.0,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-08-03,2026-08-03,63,2026-08-03 15:45:00,16,33_64,456.82,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-08-02,2026-08-02,29,2026-08-02 07:15:00,8,1_32,340.8,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-08-04,2026-08-04,9,2026-08-04 02:15:00,3,1_32,558.85,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-08-03,2026-08-03,24,2026-08-03 06:00:00,6,1_32,492.15,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-08-03,2026-08-03,23,2026-08-03 05:45:00,6,1_32,501.0,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
